

  1r          |                       |    |    |    |(I )(I )      |     
6246:  #       |                       |addi|    |    |(TC)(I )      |     
6247:  #       |                       |    |addi|    |(RD)(I )      |     
6248:  00000760|                       |    |    |addi|(W )(I )      |     
6249:  #       |addi   x10, x19, 0x804 |    |    |    |(I )(I )      |     
6250:  #       |                       |addi|    |    |(TC)(I )      |     
6251:  #       |                       |    |addi|    |(RD)(I )      |     
6252:  00000764|                       |    |    |addi|(W )(I )      |     
6253:  #       |beq    x13, x14, 0x0068|    |    |    |(I )(I )      |     
6254:  /       |                       |beq |    |    |(TC)(I )      |     
6255:  #       |                       |    |beq |    |(RD)(I )      |     
6256:  #       |                       |    |    |beq |(W )(I )      |     
6257:  #       |                       |    |    |    |(I )(I )      |     
6258:  #       |                       |    |    |    |(TC)(I )      |     
6259:  #       |                       |    |    |    |(RD)(I )      |     
6260:  000007cc|                       |    |    |    |(W )(I )      |     
6261:  #       |addi   x08, x08, 0x001 |    |    |    |(I )(I )      |     
6262:  #       |                       |addi|    |    |(TC)(I )      |     
6263:  #       |                       |    |addi|    |(RD)(I )      |     
6264:  000007d0|                       |    |    |addi|(W )(I )      |     
6265:  #       |addi   x18, x18, 0x004 |    |    |    |(I )(I )      |     
6266:  #       |                       |addi|    |    |(TC)(I )      |     
6267:  #       |                       |    |addi|    |(RD)(I )      |     
6268:  000007d4|                       |    |    |addi|(W )(I )      |     
6269:  #       |addi   x09, x09, 0x004 |    |    |    |(I )(I )      |     
6270:  #       |                       |addi|    |    |(TC)(I )      |     
6271:  #       |                       |    |addi|    |(RD)(I )      |     
6272:  000007d8|                       |    |    |addi|(W )(I )      |     
6273:  #       |blt    x08, x15, 0x1f78|    |    |    |(I )(I )      |     
6274:  /       |                       |blt |    |    |(TC)(I )      |     
6275:  #       |                       |    |blt |    |(RD)(I )      |     
6276:  #       |                       |    |    |blt |(W )(I )      |     
6277:  #       |                       |    |    |    |(I )(I )      |     
6278:  #       |                       |    |    |    |(TC)(I )      |     
6279:  #       |                       |    |    |    |(RD)(I )      |     
6280:  00000750|                       |    |    |    |(W )(I )      |     
6281:  #       |lw     x13, 0x000(x18) |    |    |    |(I )(I )      |     
6282:  #       |                       |lw  |    |    |(TC)(I )      |     
6283:  #       |                       |    |#   |    |(RD)(TC)      |     
6284:  #       |                       |    |#   |    |(W )(RD)      |     
6285:  00000754|                       |    |lw  |    |(W )(W )      |     
6286:  #       |lw     x14, 0x000(x09) |    |    |lw  |(I )(I )      |     
6287:  #       |                       |lw  |    |    |(TC)(I )      |     
6288:  #       |                       |    |#   |    |(RD)(TC)      |     
6289:  #       |                       |    |#   |    |(W )(RD)      |     
6290:  00000758|                       |    |lw  |    |(W )(W )      |     
6291:  #       |addi   x12, x08, 0x000 |    |    |lw  |(I )(I )      |     
6292:  #       |                       |addi|    |    |(TC)(I )      |     
6293:  #       |                       |    |addi|    |(RD)(I )      |     
6294:  0000075c|                       |    |    |addi|(W )(I )      |     
6295:  #       |addi   x11, x08, 0x000 |    |    |    |(I )(I )      |     
6296:  #       |                       |addi|    |    |(TC)(I )      |     
6297:  #       |                       |    |addi|    |(RD)(I )      |     
6298:  00000760|                       |    |    |addi|(W )(I )      |     
6299:  #       |addi   x10, x19, 0x804 |    |    |    |(I )(I )      |     
6300:  #       |                       |addi|    |    |(TC)(I )      |     
6301:  #       |                       |    |addi|    |(RD)(I )      |     
6302:  00000764|                       |    |    |addi|(W )(I )      |     
6303:  #       |beq    x13, x14, 0x0068|    |    |    |(I )(I )      |     
6304:  /       |                       |beq |    |    |(TC)(I )      |     
6305:  #       |                       |    |beq |    |(RD)(I )      |     
6306:  #       |                       |    |    |beq |(W )(I )      |     
6307:  #       |                       |    |    |    |(I )(I )      |     
6308:  #       |                       |    |    |    |(TC)(I )      |     
6309:  #       |                       |    |    |    |(RD)(I )      |     
6310:  000007cc|                       |    |    |    |(W )(I )      |     
6311:  #       |addi   x08, x08, 0x001 |    |    |    |(I )(I )      |     
6312:  #       |                       |addi|    |    |(TC)(I )      |     
6313:  #       |                       |    |addi|    |(RD)(I )      |     
6314:  000007d0|                       |    |    |addi|(W )(I )      |     
6315:  #       |addi   x18, x18, 0x004 |    |    |    |(I )(I )      |     
6316:  #       |                       |addi|    |    |(TC)(I )      |     
6317:  #       |                       |    |addi|    |(RD)(I )      |     
6318:  000007d4|                       |    |    |addi|(W )(I )      |     
6319:  #       |addi   x09, x09, 0x004 |    |    |    |(I )(I )      |     
6320:  #       |                       |addi|    |    |(TC)(I )      |     
6321:  #       |                       |    |addi|    |(RD)(I )      |     
6322:  000007d8|                       |    |    |addi|(W )(I )      |     
6323:  #       |blt    x08, x15, 0x1f78|    |    |    |(I )(I )      |     
6324:  /       |                       |blt |    |    |(TC)(I )      |     
6325:  #       |                       |    |blt |    |(RD)(I )      |     
6326:  #       |                       |    |    |blt |(W )(I )      |     
6327:  #       |                       |    |    |    |(I )(I )      |     
6328:  #       |                       |    |    |    |(TC)(I )      |     
6329:  #       |                       |    |    |    |(RD)(I )      |     
6330:  00000750|                       |    |    |    |(W )(I )      |     
6331:  #       |lw     x13, 0x000(x18) |    |    |    |(I )(I )      |     
6332:  #       |                       |lw  |    |    |(TC)(I )      |     
6333:  #       |                       |    |#   |    |(RD)(TC)      |     
6334:  #       |                       |    |#   |    |(W )(RR)      |rd>  
6335:  #       |                       |    |#   |    |(W )(RW)      |  >rd
6336:  #       |                       |    |#   |    |(W )(RU)      |     
6337:  #       |                       |    |#   |    |(W )(RD)      |     
6338:  00000754|                       |    |lw  |    |(W )(W )      |     
6339:  #       |lw     x14, 0x000(x09) |    |    |lw  |(I )(I )      |     
6340:  #       |                       |lw  |    |    |(TC)(I )      |     
6341:  #       |                       |    |#   |    |(RD)(TC)      |     
6342:  #       |                       |    |#   |    |(W )(RD)      |     
6343:  00000758|                       |    |lw  |    |(W )(W )      |     
6344:  #       |addi   x12, x08, 0x000 |    |    |lw  |(I )(I )      |     
6345:  #       |                       |addi|    |    |(TC)(I )      |     
6346:  #       |                       |    |addi|    |(RD)(I )      |     
6347:  0000075c|                       |    |    |addi|(W )(I )      |     
6348:  #       |addi   x11, x08, 0x000 |    |    |    |(I )(I )      |     
6349:  #       |                       |addi|    |    |(TC)(I )      |     
6350:  #       |                       |    |addi|    |(RD)(I )      |     
6351:  00000760|                       |    |    |addi|(W )(I )      |     
6352:  #       |addi   x10, x19, 0x804 |    |    |    |(I )(I )      |     
6353:  #       |                       |addi|    |    |(TC)(I )      |     
6354:  #       |                       |    |addi|    |(RD)(I )      |     
6355:  00000764|                       |    |    |addi|(W )(I )      |     
6356:  #       |beq    x13, x14, 0x0068|    |    |    |(I )(I )      |     
6357:  /       |                       |beq |    |    |(TC)(I )      |     
6358:  #       |                       |    |beq |    |(RD)(I )      |     
6359:  #       |                       |    |    |beq |(W )(I )      |     
6360:  #       |                       |    |    |    |(I )(I )      |     
6361:  #       |                       |    |    |    |(TC)(I )      |     
6362:  #       |                       |    |    |    |(RD)(I )      |     
6363:  000007cc|                       |    |    |    |(W )(I )      |     
6364:  #       |addi   x08, x08, 0x001 |    |    |    |(I )(I )      |     
6365:  #       |                       |addi|    |    |(TC)(I )      |     
6366:  #       |                       |    |addi|    |(RD)(I )      |     
6367:  000007d0|                       |    |    |addi|(W )(I )      |     
6368:  #       |addi   x18, x18, 0x004 |    |    |    |(I )(I )      |     
6369:  #       |                       |addi|    |    |(TC)(I )      |     
6370:  #       |                       |    |addi|    |(RD)(I )      |     
6371:  000007d4|                       |    |    |addi|(W )(I )      |     
6372:  #       |addi   x09, x09, 0x004 |    |    |    |(I )(I )      |     
6373:  #       |                       |addi|    |    |(TC)(I )      |     
6374:  #       |                       |    |addi|    |(RD)(I )      |     
